C-605 ANCHOR 길이/각도 검토
========================================================================================================================

[레이어 카운트]
  Anchor_1단                      6498
  ANCHOR                         2128

도형 변환 가능 ANCHOR count: 7718
length >= 1000 후보: 454
length < 1000 후보: 7264

[긴 ANCHOR 후보 length >= 1000 상위 100개]
058 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15875596.8, 3488937.3) | type=LINE
059 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15874157.1, 3489358.3) | type=LINE
060 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15872717.4, 3489779.4) | type=LINE
061 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15885674.7, 3485989.9) | type=LINE
062 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15884235.0, 3486411.0) | type=LINE
063 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15882795.3, 3486832.0) | type=LINE
064 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15881355.6, 3487253.1) | type=LINE
065 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15879915.9, 3487674.1) | type=LINE
066 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15892873.1, 3483884.7) | type=LINE
067 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15891433.4, 3484305.7) | type=LINE
068 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15889993.7, 3484726.8) | type=LINE
069 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15888554.0, 3485147.8) | type=LINE
070 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15887114.4, 3485568.9) | type=LINE
071 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15894312.8, 3483463.6) | type=LINE
072 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15895752.5, 3483042.6) | type=LINE
073 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15897192.2, 3482621.5) | type=LINE
074 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15898631.9, 3482200.5) | type=LINE
075 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15900071.6, 3481779.4) | type=LINE
076 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15901511.3, 3481358.4) | type=LINE
077 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15902951.0, 3480937.3) | type=LINE
078 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15904390.7, 3480516.3) | type=LINE
079 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15905830.4, 3480095.2) | type=LINE
080 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15907270.1, 3479674.2) | type=LINE
081 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15908709.8, 3479253.2) | type=LINE
082 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15910149.5, 3478832.1) | type=LINE
083 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15911589.1, 3478411.1) | type=LINE
084 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15913028.8, 3477990.0) | type=LINE
085 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15914468.5, 3477569.0) | type=LINE
086 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15915908.2, 3477147.9) | type=LINE
087 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15917347.9, 3476726.9) | type=LINE
088 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15918787.6, 3476305.8) | type=LINE
089 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15920227.3, 3475884.8) | type=LINE
090 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15921667.0, 3475463.7) | type=LINE
091 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15923106.7, 3475042.7) | type=LINE
092 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15924546.4, 3474621.6) | type=LINE
093 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15925986.1, 3474200.6) | type=LINE
094 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15927425.8, 3473779.5) | type=LINE
095 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15928865.5, 3473358.5) | type=LINE
096 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15930305.2, 3472937.4) | type=LINE
097 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15931744.9, 3472516.4) | type=LINE
098 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15933184.5, 3472095.3) | type=LINE
099 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15934624.2, 3471674.3) | type=LINE
100 | layer=Anchor_1단 | len=540.3 | angle=156.02 | center=(-15936063.9, 3471253.2) | type=LINE
