토질/암질/굴착심도/EL CAD 문자 검토
============================================================================================================================================

============================================================================================================================================
FILE: C-610 굴착계획 단면도 (5).dxf
hit count: 36

FILE: C-616 굴착계획 전개도 (5).dxf
hit count: 35

y=3097095.5 | x=-14739984.3 | layer=-$$범례TEXT | text=■ 주상도 범례
y=3093509.6 | x=-14739572.6 | layer=C-NOTE | text=실트질모래
y=3092253.4 | x=-14739572.6 | layer=C-NOTE | text=점토질모래
y=3091047.0 | x=-14738917.3 | layer=C-NOTE | text=풍화토
y=3089820.2 | x=-14738910.4 | layer=C-NOTE | text=풍화암
y=3060714.8 | x=-14730702.2 | layer=주상도 | text=EL.(+) 41.182
y=3060529.7 | x=-14670226.7 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060504.5 | x=-14734723.1 | layer=-$$굴착심도 | text=EL(+)41.00
y=3060504.4 | x=-14709200.5 | layer=-$$굴착심도 | text=EL(+)41.00
y=3059212.6 | x=-14732021.9 | layer=Layer | text=매립층
y=3058524.2 | x=-14661504.7 | layer=주상도 | text=EL(+)39.46m
y=3057878.8 | x=-14656813.0 | layer=주상도 | text=EL.(+) 38.346
y=3057462.6 | x=-14732021.9 | layer=Layer | text=퇴적층
y=3057276.6 | x=-14658132.6 | layer=Layer | text=매립층
y=3056426.6 | x=-14658132.6 | layer=Layer | text=퇴적층
y=3056212.6 | x=-14732021.9 | layer=Layer | text=퇴적층
y=3055526.6 | x=-14658132.6 | layer=Layer | text=퇴적층
y=3054594.8 | x=-14709200.5 | layer=-$$굴착심도 | text=EL(+)35.09
y=3054544.8 | x=-14734723.2 | layer=-$$굴착심도 | text=EL(+)35.04
y=3054462.6 | x=-14732021.9 | layer=Layer | text=퇴적층
y=3053876.6 | x=-14658132.6 | layer=Layer | text=퇴적층
y=3052744.8 | x=-14734723.2 | layer=-$$굴착심도 | text=EL(+)33.24
y=3051962.6 | x=-14732021.9 | layer=Layer | text=풍화토
y=3051069.8 | x=-14670226.7 | layer=-$$굴착심도 | text=EL(+)31.54
y=3051026.6 | x=-14658132.6 | layer=Layer | text=풍화토
y=3050212.6 | x=-14732021.9 | layer=Layer | text=풍화암
y=3042323.3 | x=-14686006.7 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041862.8 | x=-14669436.5 | layer=-$$TEXT | text=시공하한선 : EL(+)29.54m
y=3041862.8 | x=-14701102.8 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3041862.8 | x=-14658825.2 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3033392.0 | x=-14746407.4 | layer=C-NOTE | text=1. 본 설계는 대표 주상도를 기준으로여 설계하였으므로, 시험천공에 따른 지층조건이 상이 할 경우 재검토를 실시하여야 한다.
y=3032392.0 | x=-14746407.4 | layer=C-NOTE | text=2. 착공 전에 대지경계선, 지하층 구조물선, 지반고 등에 대해 현황측량을 반드시 실시하여 설계도면과의 상이점을 검토 후 착공하여야 한다.
